Date,Fecha,Dia,Temperatura (entrada),Temperatura (zona ampliación),Humedad (entrada),Humedad (zona ampliación),Year,Monitoreo
111,4-Jun-12,Lunes,22,NA,41,NA,2012,
112,5-Jun-12,Martes,22,NA,36,NA,2012,
113,6-Jun-12,Miércoles,22,NA,36,NA,2012,
114,7-Jun-12,Jueves,22,NA,37,NA,2012,
115,8-Jun-12,Viernes,22,NA,39,NA,2012,
116,11-Jun-12,Lunes,22,NA,36,NA,2012,
117,12-Jun-12,Martes,22,NA,38,NA,2012,
118,13-Jun-12,Miércoles,22,NA,37,NA,2012,
119,14-Jun-12,Jueves,22,NA,37,NA,2012,
120,15-Jun-12,Viernes,24,NA,35,NA,2012,
121,18-Jun-12,Lunes,23,NA,39,NA,2012,
122,19-Jun-12,Martes,26,NA,32,NA,2012,
123,20-Jun-12,Miércoles,27,NA,30,NA,2012,
124,21-Jun-12,Jueves,28,NA,29,NA,2012,
125,22-Jun-12,Viernes,28,NA,30,NA,2012,
126,25-Jun-12,Lunes,27,NA,29,NA,2012,
127,26-Jun-12,Martes,22,NA,36,NA,2012,
128,27-Jun-12,Miércoles,21,NA,34,NA,2012,
129,28-Jun-12,Jueves,23,NA,34,NA,2012,
130,29-Jun-12,Viernes,23,NA,33,NA,2012,
131,2-Jul-12,Lunes,23,NA,33,NA,2012,
132,3-Jul-12,Martes,23,NA,34,NA,2012,
133,4-Jul-12,Miércoles,23,NA,34,NA,2012,
134,5-Jul-12,Jueves,23,NA,35,NA,2012,
135,6-Jul-12,Viernes,23,NA,36,NA,2012,
136,9-Jul-12,Lunes,23,NA,33,NA,2012,
137,10-Jul-12,Martes,23,NA,33,NA,2012,
138,11-Jul-12,Miércoles,23,NA,33,NA,2012,
139,12-Jul-12,Jueves,23,NA,33,NA,2012,
140,13-Jul-12,Viernes,23,NA,34,NA,2012,
141,16-Jul-12,Lunes,23,NA,32,NA,2012,
142,17-Jul-12,Martes,23,NA,33,NA,2012,
143,18-Jul-12,Miércoles,23,NA,33,NA,2012,
144,19-Jul-12,Jueves,23,NA,34,NA,2012,
145,20-Jul-12,Viernes,23,NA,34,NA,2012,
146,23-Jul-12,Lunes,23,NA,33,NA,2012,
147,24-Jul-12,Martes,23,NA,34,NA,2012,
148,25-Jul-12,Miércoles,23,NA,34,NA,2012,
149,26-Jul-12,Jueves,23,NA,35,NA,2012,
150,27-Jul-12,Viernes,23,NA,35,NA,2012,
151,30-Jul-12,Lunes,23,NA,34,NA,2012,
152,31-Jul-12,Martes,23,NA,35,NA,2012,
153,1-Aug-12,Miércoles,23,NA,35,NA,2012,
154,2-Aug-12,Jueves,23,NA,35,NA,2012,
155,3-Aug-12,Viernes,23,NA,35,NA,2012,
156,6-Aug-12,Lunes,23,NA,34,NA,2012,
157,7-Aug-12,Martes,23,NA,34,NA,2012,
158,8-Aug-12,Miércoles,23,NA,35,NA,2012,
159,9-Aug-12,Jueves,23,NA,36,NA,2012,
160,10-Aug-12,Viernes,,NA,,NA,2012,
161,13-Aug-12,Lunes,23,NA,35,NA,2012,
162,14-Aug-12,Martes,23,NA,36,NA,2012,
163,15-Aug-12,Miércoles,23,NA,36,NA,2012,
164,16-Aug-12,Jueves,23,NA,36,NA,2012,
165,17-Aug-12,Viernes,23,NA,36,NA,2012,
166,20-Aug-12,Lunes,23,NA,34,NA,2012,
167,21-Aug-12,Martes,23,NA,35,NA,2012,
168,22-Aug-12,Miércoles,23,NA,36,NA,2012,
169,23-Aug-12,Jueves,23,NA,36,NA,2012,
170,24-Aug-12,Viernes,23,NA,35,NA,2012,
171,27-Aug-12,Lunes,23,NA,34,NA,2012,
172,28-Aug-12,Martes,23,NA,35,NA,2012,
173,29-Aug-12,Miércoles,23,NA,34,NA,2012,
174,30-Aug-12,Jueves,23,NA,34,NA,2012,
175,31-Aug-12,Viernes,24,NA,33,NA,2012,
